"sep=\t" 
order_id	parent_id	post_excerpt	net_total	sku	max_price
1459	0	Bill No 101 02-Dec-2020	860	KUC010010	860.0000
1460	0	Bill No 102 02-Dec-2020 Amt 2760 less 860 from Bill No 101	1900	SRC010029	950.0000
1460	0	Bill No 102 02-Dec-2020 Amt 2760 less 860 from Bill No 101	1900	SRC010028	950.0000
1461	0	Bill No 103 02-Dec-2020	5400	KUA010145	2700.0000
1461	0	Bill No 103 02-Dec-2020	5400	KUA010154	2700.0000
1462	0	Bill No 104 02-Dec-2020	7980	KUC010007	1440.0000
1462	0	Bill No 104 02-Dec-2020	7980	KUA010050	1500.0000
1462	0	Bill No 104 02-Dec-2020	7980	KUA010031	990.0000
1462	0	Bill No 104 02-Dec-2020	7980	SRC010012	4050.0000
1463	0	Bill No 105 02-Dec-2020	1400	KUA010126	700.0000
1463	0	Bill No 105 02-Dec-2020	1400	KUA010127	700.0000
1464	0	Bill No 106 02-Dec-2020	1000	SRA010118	1190.0000
1465	0	Bill No 107 02-Dec-2020	1450	SRA010109	1590.0000
1466	0	Bill No 108 02-Dec-2020	990	SRA010154	1090.0000
1467	0	Bill No 110 02-Dec-2020	3300	KUA010131	2700.0000
1467	0	Bill No 110 02-Dec-2020	3300	KUA010040	1190.0000
1468	0	Bill No 111 02-DEC-2020	4800	SRA010216	2150.0000
1468	0	Bill No 111 02-DEC-2020	4800	SRA010211	2650.0000
1469	0	Bill No 113 02-Dec-2020	7500	SRC010025	6390.0000
1469	0	Bill No 113 02-Dec-2020	7500	KUA010162	2300.0000
1470	0	Bill No 114 02-Dec-2020	1160	KUA010054	1160.0000
1471	0	Bill No 115 02-DEC-2020	1100	KUA010114	1100.0000
1472	0	Bill No 116 02-Dec-2020	1480	KUA010052	1480.0000
1473	0	Bill No 118 02-Dec-2020	950	KUA010102	1100.0000
1474	0	Bill No 119 02-Dec-2020	1450	SRA010113	1590.0000
1475	0	Bill No 120 02-Dec-2020	1450	SRA010107	1590.0000
1476	0	Bill No 121 02-DEC-2012	2100	KUA010135	2500.0000
1477	0	Bill No 123 02-DEC-2012 Google pay Karan 2300 + 280 Cash	2580	KUC010008	1440.0000
1477	0	Bill No 123 02-DEC-2012 Google pay Karan 2300 + 280 Cash	2580	KUA010183	1470.0000
1478	0	Bill No 124 02-DEC-2012 	2200	KUA010187	1000.0000
1478	0	Bill No 124 02-DEC-2012 	2200	KUA010039	1260.0000
1479	0	Bill No 125 02-DEC-2020	2500	SRA010199	3390.0000
1480	0	Bill No 127 02-DEC-2012	2100	KUA010157	2300.0000
1481	0	Bill No 122 02-DEC-2012 	2850	KUA010048	1790.0000
1481	0	Bill No 122 02-DEC-2012 	2850	KUA010029	1300.0000
1483	1481		-1650	KUA010048	1790.0000
1484	0	Bill No 129 03-DEC-2012	2050	KUA010195	2270.0000
1485	0	Bill No 130 03-DEC-2012	600	KUA010034	1190.0000
1486	0	Bill No 131 03-DEC-2012	3700	KUA010156	2300.0000
1486	0	Bill No 131 03-DEC-2012	3700	KUA010136	1900.0000
1487	0	Bill No 132 04-DEC-2012	2100	SRA010100	1100.0000
1487	0	Bill No 132 04-DEC-2012	2100	SRA010097	1100.0000
1488	0	Bill No 133 05-DEC-2012	4880	SRA010157	1090.0000
1488	0	Bill No 133 05-DEC-2012	4880	SRC010038	2480.0000
1488	0	Bill No 133 05-DEC-2012	4880	SRC010043	1760.0000
1489	0	Bill No 135 06-DEC-2012	3400	SRC010039	2330.0000
