ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
301,simple,ss0023,Silk Saree,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,999,1000,Saree,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/11/SFFS0003.jpg,,,,,,,,,0
303,simple,ss0024,Saree Designer,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,2000,2500,Saree,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/11/SFFS0005.jpg,,,,,,,,,0
,simple,KUA010204,Kurti,0,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1180,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010204.jpg,,,,,,,,,0
,simple,KUA010205,Kurti,0,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1180,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010205.jpg,,,,,,,,,0
,simple,KUA010206,Kurti,0,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,2040,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010206.jpg,,,,,,,,,0
,simple,KUA010207,Kurti,0,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1180,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010207.jpg,,,,,,,,,0
,simple,KUA010208,Kurti,0,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1180,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010208.jpg,,,,,,,,,0
,simple,KUA010209,Kurti,0,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1180,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010209.jpg,,,,,,,,,0
,simple,KUA010210,Kurti,0,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1610,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010210.jpg,,,,,,,,,0
,simple,KUA010211,Kurti,0,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,2260,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010211.jpg,,,,,,,,,0
,simple,KUA010212,Kurti,0,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,2260,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010212.jpg,,,,,,,,,0
,simple,KUA010213,Kurti,0,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1180,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010213.jpg,,,,,,,,,0
,simple,KUA010214,Kurti,0,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1180,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010214.jpg,,,,,,,,,0
,simple,KUA010215,Kurti,0,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1180,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010215.jpg,,,,,,,,,0
,simple,KUA010216,Kurti,0,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,2040,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010216.jpg,,,,,,,,,0
,simple,KUA010217,Kurti,0,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,2260,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010217.jpg,,,,,,,,,0
,simple,KUA010218,Kurti,0,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,2040,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010218.jpg,,,,,,,,,0
,simple,KUA010219,Kurti,0,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1400,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010219.jpg,,,,,,,,,0
,simple,KUA010220,Kurti,0,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,2260,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010220.jpg,,,,,,,,,0
,simple,KUA010221,Kurti,0,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,2470,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010221.jpg,,,,,,,,,0
,simple,KUA010222,Kurti,0,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1610,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010222.jpg,,,,,,,,,0
,simple,KUA010223,Kurti,0,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,2040,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010223.jpg,,,,,,,,,0
,simple,KUA010224,Kurti,0,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,2260,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010224.jpg,,,,,,,,,0
,simple,KUA010225,Kurti,0,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1180,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010225.jpg,,,,,,,,,0
,simple,KUA010226,Kurti,0,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,2260,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010226.jpg,,,,,,,,,0
,simple,KUA010227,Kurti,0,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1180,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010227.jpg,,,,,,,,,0
