ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
,simple,KUA010269,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1170,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010269.jpg,,,,,,,,,0
,simple,KUA010270,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1170,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010270.jpg,,,,,,,,,0
,simple,KUA010271,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1170,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010271.jpg,,,,,,,,,0
,simple,KUA010272,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,530,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010272.jpg,,,,,,,,,0
,simple,KUA010273,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,530,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010273.jpg,,,,,,,,,0
,simple,KUA010274,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1170,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010274.jpg,,,,,,,,,0
,simple,KUA010275,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1170,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010275.jpg,,,,,,,,,0
,simple,KUA010276,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1170,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010276.jpg,,,,,,,,,0
,simple,KUA010277,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1170,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010277.jpg,,,,,,,,,0
,simple,KUA010278,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,960,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010278.jpg,,,,,,,,,0
,simple,KUA010279,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1170,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010279.jpg,,,,,,,,,0
,simple,KUA010280,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1170,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010280.jpg,,,,,,,,,0
,simple,KUA010281,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,530,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010281.jpg,,,,,,,,,0
,simple,KUA010282,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1390,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010282.jpg,,,,,,,,,0
,simple,KUA010283,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1170,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010283.jpg,,,,,,,,,0
,simple,KUA010284,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1170,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010284.jpg,,,,,,,,,0
,simple,KUA010285,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,750,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010285.jpg,,,,,,,,,0
,simple,KUA010286,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1170,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010286.jpg,,,,,,,,,0
,simple,KUA010287,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,530,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010287.jpg,,,,,,,,,0
,simple,KUA010288,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1170,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010288.jpg,,,,,,,,,0
,simple,KUA010289,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,750,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010289.jpg,,,,,,,,,0
,simple,KUA010290,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,960,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010290.jpg,,,,,,,,,0
,simple,KUA010291,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1390,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010291.jpg,,,,,,,,,0
,simple,KUA010292,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,530,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010292.jpg,,,,,,,,,0
,simple,KUA010293,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1170,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010293.jpg,,,,,,,,,0
,simple,KUA010294,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1170,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010294.jpg,,,,,,,,,0
,simple,KUA010295,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1170,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010295.jpg,,,,,,,,,0
,simple,KUA010296,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,530,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010296.jpg,,,,,,,,,0
,simple,KUA010297,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1370,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010297.jpg,,,,,,,,,0
,simple,KUA010298,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,2210,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010298.jpg,,,,,,,,,0
,simple,KUA010299,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1160,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010299.jpg,,,,,,,,,0
,simple,KUA010300,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1160,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010300.jpg,,,,,,,,,0
,simple,KUA010301,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,950,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010301.jpg,,,,,,,,,0
,simple,KUA010302,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,2000,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010302.jpg,,,,,,,,,0
,simple,KUA010303,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1160,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010303.jpg,,,,,,,,,0
,simple,KUA010304,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1160,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010304.jpg,,,,,,,,,0
,simple,KUA010305,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,2840,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010305.jpg,,,,,,,,,0
,simple,KUA010306,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,2210,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010306.jpg,,,,,,,,,0
,simple,KUA010307,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,2840,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010307.jpg,,,,,,,,,0
,simple,KUA010308,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,2000,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010308.jpg,,,,,,,,,0
,simple,KUA010309,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,2630,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010309.jpg,,,,,,,,,0
,simple,KUA010310,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1790,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010310.jpg,,,,,,,,,0
,simple,KUA010311,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1370,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010311.jpg,,,,,,,,,0
,simple,KUA010312,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,2210,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010312.jpg,,,,,,,,,0
,simple,KUA010313,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1370,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010313.jpg,,,,,,,,,0
,simple,KUA010314,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1160,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010314.jpg,,,,,,,,,0
,simple,KUA010315,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1710,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010315.jpg,,,,,,,,,0
,simple,KUA010316,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1710,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010316.jpg,,,,,,,,,0
,simple,KUA010317,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,3000,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010317.jpg,,,,,,,,,0
,simple,KUA010318,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,2570,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010318.jpg,,,,,,,,,0
,simple,KUA010319,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,3000,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010319.jpg,,,,,,,,,0
,simple,KUA010320,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,2570,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010320.jpg,,,,,,,,,0
,simple,KUA010321,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,2790,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010321.jpg,,,,,,,,,0
,simple,KUA010322,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,3000,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010322.jpg,,,,,,,,,0
,simple,KUA010323,Kurti,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1710,Kurti,,,http://localhost/mahisfashionparadise/wp-content/uploads/2020/12/KUA010323.jpg,,,,,,,,,0
