ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
BUS1062,simple,FABBUS1062,Uppada Silk Saree,1,0,visible,UPPADA PURE SILK ALLOVER CHECKS BUTA,"Uppada pure silk model allover checks buta khaddi border, Body color yellow,Blouse color redish pink & thread design pallu",,,taxable,,1,,,0,0,,,,,1,,,2850,"Uppada, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1062-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1062-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1062-3.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1062-4.jpg",,,,,,,,,0
BUS1071,simple,FABBUS1071,Uppada Silk Saree,1,0,visible,UPPADA PURE SILK ALLOVER CHECKS BUTA,"Uppada pure silk model allover checks buta khaddi border, Body color blue,Blouse color red & thread design pallu",,,taxable,,1,,,0,0,,,,,1,,,2850,"Uppada, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1071-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1071-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1071-3.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1071-4.jpg",,,,,,,,,0
BUS1070,simple,FABBUS1070,Uppada Silk Saree,1,0,visible,UPPADA PURE SILK ALLOVER CHECKS BUTA,"Uppada pure silk model allover checks buta khaddi border, Body color green,Blouse color pink & thread design pallu",,,taxable,,1,,,0,0,,,,,1,,,2850,"Uppada, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1070-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1070-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1070-3.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1070-4.jpg",,,,,,,,,0
BUS1069,simple,FABBUS1069,Uppada Silk Saree,1,0,visible,UPPADA PURE SILK ALLOVER CHECKS BUTA,"Uppada pure silk model allover checks buta khaddi border, Body color pink,Blouse color blue & thread design pallu",,,taxable,,1,,,0,0,,,,,1,,,2850,"Uppada, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1069-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1069-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1069-3.jpg",,,,,,,,,0
BUS1058,simple,FABBUS1058,Uppada Silk Saree,1,0,visible,UPPADA SILK ALLOVER CHECKS IKKAT DESIGN BORDER,"Uppada silk model allover checks ikkat design border, Body color dark peach,Blouse color blue & plain pallu",,,taxable,,1,,,0,0,,,,,1,,,2200,"Uppada, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1058-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1058-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1058-3.jpg",,,,,,,,,0
BUS1061,simple,FABBUS1061,Uppada Silk Saree,1,0,visible,UPPADA SILK ALLOVER CHECKS IKKAT DESIGN BORDER,"Uppada silk model allover checks ikkat design border, Body color cream,Blouse color pink & plain pallu",,,taxable,,1,,,0,0,,,,,1,,,2200,"Uppada, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1061-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1061-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1061-3.jpg",,,,,,,,,0
BUS1060,simple,FABBUS1060,Uppada Silk Saree,1,0,visible,UPPADA SILK ALLOVER CHECKS IKKAT DESIGN BORDER,"Uppada silk model allover checks ikkat design border, Body color green,Blouse color pink & plain pallu",,,taxable,,1,,,0,0,,,,,1,,,2200,"Uppada, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1060-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1060-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1060-3.jpg",,,,,,,,,0
BUS968,simple,FABBUS968,Uppada Silk Saree,1,0,visible,UPPADA SOFT SILK ALLOVER POCHAMPALLY DESIGN,"Uppada pure soft pattu model allover pochampally design saree, big border, Body color lime, Blouse color pink & pochampally pallu",,,taxable,,1,,,0,0,,,,,1,,,2800,"Uppada, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS968-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS968-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS968-3.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS968-4.jpg",,,,,,,,,0
BUS1104,simple,FABBUS1104,Uppada Silk Saree,1,0,visible,UPPADA PURE SILK ALLOVER ZARI & RESHAM BUTA,"Uppada pure silk handloom model allover zari & resham buta khaddi border, Body color dark maroon, Blouse color green & rich pallu",,,taxable,,1,,,0,0,,,,,1,,,4250,"Uppada, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1104-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1104-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1104-3.jpg",,,,,,,,,0
KH412,simple,FABKH412,Kanchi Half Fine Silk Saree,1,0,visible,KANCHI HALF FINE ALLOVER BROCADE,"Kanchi half fine silk saree model allover zari brocade with meena design border, Body color pink blouse color green & rich pallu",,,taxable,,1,,,0,0,,,,,1,,,1650,"Kanchi, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH412-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH412-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH412-3.jpg",,,,,,,,,0
